antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'butylene glycol', 'ethylhexylglycerin'})",frozenset({'phenoxyethanol'}),0.10692339205243753,0.5641130684145842,0.08316263826300696,0.7777777777777777,1.3787622044702652,1.0,0.022845755487010858,1.9614911921343703,0.3076015727391873,0.14146341463414633,0.4901837928153715,0.46259985475671744
"frozenset({'sodium hydroxide', 'glycerin', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.09586235149528882,0.5641130684145842,0.07455960671855796,0.7777777777777777,1.3787622044702652,1.0,0.02048240147111318,1.9614911921343703,0.3038384361447341,0.1273617914625612,0.4901837928153715,0.45497458242556277
"frozenset({'caprylyl glycol', 'linalool'})",frozenset({'phenoxyethanol'}),0.0680049160180254,0.5641130684145842,0.05284719377304384,0.7771084337349398,1.3775756621256268,1.0,0.01448473193083942,1.9556008281940278,0.2940863787375415,0.09123055162659123,0.4886482018298759,0.4353951754731344
"frozenset({'xanthan gum', 'sodium hyaluronate', 'glycerin'})",frozenset({'phenoxyethanol'}),0.10815239655878738,0.5641130684145842,0.08398197460057354,0.7765151515151516,1.3765239541383334,1.0,0.022971794321405073,1.9504093209923699,0.30670311572201625,0.14275766016713093,0.4872871098200047,0.46269475803789534
"frozenset({'ethylhexylglycerin', 'water'})",frozenset({'phenoxyethanol'}),0.1356001638672675,0.5641130684145842,0.10528471937730438,0.7764350453172206,1.3763819503408392,1.0,0.028790894860619684,1.9497104642536849,0.3163553211499807,0.17711922811853895,0.48710333234899955,0.4815363316636938
"frozenset({'sodium hydroxide', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.1077427283900041,0.5641130684145842,0.08357230643179026,0.7756653992395438,1.3750176031544854,1.0,0.02279322532034591,1.9430214068977016,0.3056703397612489,0.14206128133704737,0.4853376311501188,0.461906773693846
"frozenset({'sodium benzoate', 'xanthan gum'})",frozenset({'phenoxyethanol'}),0.07292093404342483,0.5641130684145842,0.0565342072920934,0.7752808988764045,1.374336001566669,1.0,0.015398555437199507,1.9396968455551005,0.2938000730081268,0.09738884968242766,0.48445552082453325,0.4377493819000759
"frozenset({'butylene glycol', 'glycerin', 'silica'})",frozenset({'phenoxyethanol'}),0.06923392052437526,0.5641130684145842,0.05366653011061041,0.7751479289940829,1.3741002866191405,1.0,0.014610770765233622,1.9385497746825078,0.29250215030641863,0.09257950530035336,0.4841504649196958,0.43514113951519684
"frozenset({'glyceryl stearate', 'glycerin', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.07824662023760753,0.5641130684145842,0.06063088897992626,0.774869109947644,1.3736060256951337,1.0,0.01649094794461877,1.936148928670103,0.29507807807807807,0.10422535211267606,0.48351080581033745,0.44117456949815026
"frozenset({'caprylyl glycol', 'tocopherol', 'glycerin'})",frozenset({'phenoxyethanol'}),0.07455960671855796,0.5641130684145842,0.05776321179844326,0.7747252747252747,1.3733510498216381,1.0,0.01570316327265288,1.9349127206962362,0.2937564164147194,0.09943582510578278,0.4831808229364621,0.4385608944432474
"frozenset({'tocopheryl acetate', 'glycerin'})",frozenset({'phenoxyethanol'}),0.2068824252355592,0.5641130684145842,0.16018025399426464,0.7742574257425743,1.3725216966141058,1.0,0.04347517429358254,1.930902635531886,0.3422116421128279,0.2622401073105298,0.48210749646393214,0.5291040215132624
"frozenset({'butylene glycol', 'glycerin', 'sodium hydroxide'})",frozenset({'phenoxyethanol'}),0.10159770585825481,0.5641130684145842,0.07865628840639083,0.7741935483870969,1.3724084615925225,1.0,0.021343694810808334,1.930356411306842,0.30204058367533065,0.13398464759246337,0.48196095076400697,0.45681354979267697
